patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
sleepREM,0,300,742.14109,740,740,1871.6451,0.25370281,4.1618644,55,43.262513,48.505583,0.33498759,404,1,5,29.356871,2059.5137,1285.8416,1574.3914,0.82,4949.1037,5,-8.9254386,10.506536,34.341259,50.63564,0.67820331,1.9638981,1.201316
sleepREM,30,330,738.68227,735,725,1633.3827,0.10041865,3.8902425,50,40.41513,47.400969,0.32098765,406,1,5,19.041905,1399.8165,1158.0824,1511.3243,0.77,4088.2651,5,-9.4852941,10.560897,33.558674,46.266412,0.72533556,1.9177145,1.2252046
sleepREM,60,360,738.19753,735,725,1644.5153,0.083195131,3.840364,51.25,40.552624,46.937129,0.30940594,405,1,5,18.046141,1341.7501,1233.2053,1605.8669,0.77,4198.8685,5,-9.7633136,11.298387,33.230673,46.741342,0.7109482,1.9574938,1.2412434
