patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
sleepN2,0,300,786.407895,785,765,4414.04163,0.0364138161,2.40782543,105,66.4382542,97.602865,0.625329815,380,1,5,146.374889,2084.36107,2106.77695,5345.51193,0.39,9683.02484,5,-16.9965278,15.6574074,69.1068773,63.657857,1.08559855,2.67649126,0.776784951
sleepN2,30,330,789.234828,790,840,4580.23307,0.0584312593,2.44483522,100,67.6774192,97.3983665,0.626984127,379,1,5,145.955018,2240.19446,2325.07585,5910.42896,0.39,10621.6543,5,-17.2606383,16.0492701,68.9618622,66.3681226,1.03908111,2.20844883,1.22731111
sleepN2,60,360,791.090426,790,840,4470.54113,0.107036408,2.43949673,102.5,66.8621054,96.842828,0.634666667,376,1,5,138.978511,1997.94368,2539.82107,5665.36547,0.45,10342.1087,5,-17.9981884,14.9107143,68.5695803,65.1098681,1.05313653,2.20882653,1.21898976
