patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
sleepN3,0,300,800.74866,800,800,2420.4836,0.11952674,2.9674578,70,49.19841,66.389056,0.45308311,374,1,5,27.790103,845.78625,1088.6579,4065.463,0.27,6027.6972,5,-17.322581,16.684028,47.007145,51.296155,0.9163873,2.6647072,1.1194129
sleepN3,30,330,800.30749,800,800,2509.6237,0.15234023,2.984555,70,50.096145,69.766943,0.48525469,374,1,5,33.193205,844.06156,1055.3737,4007.4115,0.26,5940.0399,5,-17.283654,16.975524,49.398883,50.783834,0.9727285,2.7546336,1.1123496
sleepN3,60,360,801.27005,800,800,2700.5944,0.1139597,2.8301703,70,51.967244,73.973765,0.52546917,374,1,5,32.592486,809.53845,1076.3251,4115.9078,0.26,6034.3639,5,-16.420455,16.424825,52.377579,51.553643,1.0159821,2.7270653,1.0327652
